MUNIDESC,SALE_YEAR,SALE_MONTH,avg_ppsf,median_ppsf,sale_count
10TH WARD - PITTSBURGH,2020,5,125.85219190509369,105.72713782229643,4
10TH WARD - PITTSBURGH,2020,6,217.23642187656768,210.31332309043017,4
10TH WARD - PITTSBURGH,2020,7,227.79283324077605,200.61418762261457,6
10TH WARD - PITTSBURGH,2020,8,134.85666083797332,145.44455737689162,10
10TH WARD - PITTSBURGH,2020,9,201.8801716940015,193.9279142077543,8
10TH WARD - PITTSBURGH,2020,10,178.51535106838028,181.30841121495328,3
10TH WARD - PITTSBURGH,2020,11,191.63318025258326,191.63318025258326,2
10TH WARD - PITTSBURGH,2020,12,140.07664180415867,140.69264069264068,9
10TH WARD - PITTSBURGH,2021,1,143.58269038396278,162.03703703703704,3
10TH WARD - PITTSBURGH,2021,2,152.0134890869221,160.56227598566306,4
10TH WARD - PITTSBURGH,2021,3,117.16036097858996,106.69844861021332,4
10TH WARD - PITTSBURGH,2021,4,39.73105134474328,39.73105134474328,1
10TH WARD - PITTSBURGH,2021,5,194.35233074100816,173.15716272600835,3
10TH WARD - PITTSBURGH,2021,6,231.54170277515883,209.76430976430976,7
10TH WARD - PITTSBURGH,2021,7,187.85842284186336,172.6027397260274,7
10TH WARD - PITTSBURGH,2021,8,300.52419488029295,333.5011155248409,6
10TH WARD - PITTSBURGH,2021,9,199.57204546642683,180.45112781954887,7
10TH WARD - PITTSBURGH,2021,10,208.50480617746751,218.25396825396825,4
10TH WARD - PITTSBURGH,2021,11,145.09789958663447,140.26629963732262,4
10TH WARD - PITTSBURGH,2021,12,186.4476872700023,180.67671552627934,10
10TH WARD - PITTSBURGH,2022,1,151.51151701389406,137.500871264534,6
10TH WARD - PITTSBURGH,2022,2,178.71784585177207,162.3015873015873,7
10TH WARD - PITTSBURGH,2022,3,199.78767759735192,190.2566844919786,14
10TH WARD - PITTSBURGH,2022,4,174.0992782833093,165.70159618795276,14
10TH WARD - PITTSBURGH,2022,5,198.19726053203712,187.3684210526316,15
10TH WARD - PITTSBURGH,2022,6,218.78035564750616,230.67434210526318,10
10TH WARD - PITTSBURGH,2022,7,178.13891647060345,182.0854270521768,10
10TH WARD - PITTSBURGH,2022,8,222.0789979383862,229.8928571428571,14
10TH WARD - PITTSBURGH,2022,9,201.33176668759725,234.23790555350354,12
10TH WARD - PITTSBURGH,2022,10,196.73831985761893,232.26976827520306,10
10TH WARD - PITTSBURGH,2022,11,209.67936954347843,167.69865841073272,11
10TH WARD - PITTSBURGH,2022,12,160.42748582637878,161.49726605758582,6
10TH WARD - PITTSBURGH,2023,1,221.79092603553417,215.1281851880654,8
10TH WARD - PITTSBURGH,2023,2,169.64299884474175,181.6860465116279,7
10TH WARD - PITTSBURGH,2023,3,144.86705254041414,120.31866464339909,10
10TH WARD - PITTSBURGH,2023,4,223.9987627496208,209.57641429777652,16
10TH WARD - PITTSBURGH,2023,5,214.76605407203306,206.1032863849765,11
10TH WARD - PITTSBURGH,2023,6,219.6321603753344,216.9811320754717,7
10TH WARD - PITTSBURGH,2023,7,202.00413952253516,184.03892370023652,16
10TH WARD - PITTSBURGH,2023,8,220.71485354214545,233.16062176165804,11
10TH WARD - PITTSBURGH,2023,9,197.6513945360803,199.2753623188406,7
10TH WARD - PITTSBURGH,2023,10,202.13166858562877,205.41958041958043,7
