MUNIDESC,SF_BUCKET,MEAN_PPSF,MEDIAN_PPSF,STD_PPSF,SAMPLE_SIZE,TIME_BAND
BEN AVON,2001–2500,72.37108621963084,79.44120100083403,34.08365033690963,5,2012
BEN AVON,2501–3000,103.48438520477605,105.94668489405332,15.005669519887201,3,2012
BEN AVON,3001+,97.18788627935724,97.18788627935724,,1,2012
BEN AVON HEIGHTS,1001–1500,126.5012009607686,126.5012009607686,,1,2012
BEN AVON HEIGHTS,1501–2000,136.9851108487472,136.9851108487472,48.37647436157868,2,2012
BEN AVON HEIGHTS,2501–3000,127.0739064856712,127.0739064856712,,1,2012
BEN AVON HEIGHTS,3001+,141.4835164835165,141.4835164835165,,1,2012
BETHEL PARK,0–1000,113.67443643172837,112.41970021413276,23.958562166992923,33,2012
BETHEL PARK,1001–1500,98.64199103829337,103.93466963622866,27.075060360045974,107,2012
BETHEL PARK,1501–2000,93.56043410779169,95.6043956043956,24.606762691499945,95,2012
BETHEL PARK,2001–2500,94.02506762419871,94.38369781312127,21.212661316392982,51,2012
BETHEL PARK,2501–3000,101.87298938184874,100.7751937984496,24.554353043654956,13,2012
BETHEL PARK,3001+,101.98939702026405,105.38272000188113,24.94050263530254,8,2012
BLAWNOX,0–1000,83.6499731471536,65.625,51.221499974283084,3,2012
BLAWNOX,1001–1500,76.49936399899084,88.8750557307092,36.50440512494275,6,2012
BLAWNOX,1501–2000,50.13192612137203,50.13192612137203,,1,2012
BLAWNOX,2001–2500,98.52152431932626,98.52152431932626,32.22798296218417,2,2012
BLAWNOX,2501–3000,11.975757575757576,11.975757575757576,,1,2012
BRACKENRIDGE,0–1000,67.48466257668711,67.48466257668711,,1,2012
BRACKENRIDGE,1001–1500,36.65436900988087,31.27212732919255,25.12928385642003,8,2012
BRACKENRIDGE,1501–2000,43.00775665582951,44.23076923076923,18.0879265536734,5,2012
BRACKENRIDGE,2001–2500,30.851438825866822,30.851438825866822,26.79464746372789,2,2012
BRADDOCK,0–1000,0.7656967840735069,0.7656967840735069,,1,2012
BRADDOCK,1001–1500,11.630178338036048,4.779411764705882,13.180957862293285,6,2012
BRADDOCK,1501–2000,0.5586592178770949,0.5586592178770949,,1,2012
BRADDOCK,2001–2500,3.8095238095238098,3.8095238095238098,,1,2012
BRADDOCK,2501–3000,1.7301038062283738,1.7301038062283738,,1,2012
BRADDOCK,3001+,14.234875444839858,14.234875444839858,,1,2012
BRADDOCK HILLS,0–1000,83.33333333333333,83.33333333333333,,1,2012
BRADDOCK HILLS,1001–1500,63.39172317992787,63.38537442552041,19.63495849970939,6,2012
BRADDOCK HILLS,1501–2000,46.23724489795919,46.23724489795919,,1,2012
BRADFORD WOODS,1501–2000,144.56147631587336,142.34699638663054,53.70122218802201,4,2012
BRADFORD WOODS,2001–2500,122.29347487157368,127.95761367751926,17.96442705954516,6,2012
BRADFORD WOODS,2501–3000,126.31924471597333,119.59188761483786,24.400529767044283,4,2012
BRADFORD WOODS,3001+,117.09463617078069,115.51588343397218,27.91751243285133,3,2012
BRENTWOOD,0–1000,63.18308421892425,61.24038461538461,33.55196588333063,16,2012
BRENTWOOD,1001–1500,65.13022934954958,66.72923564955491,21.61740001396308,38,2012
BRENTWOOD,1501–2000,54.39811009991216,56.022036127950535,26.602242505568164,14,2012
BRENTWOOD,2001–2500,31.48192317704373,29.895104895104897,8.45235619299834,5,2012
BRENTWOOD,2501–3000,53.69127516778523,53.69127516778523,,1,2012
BRIDGEVILLE,0–1000,83.68182635761657,97.76683862839242,39.67384124101601,14,2012
BRIDGEVILLE,1001–1500,86.17333012294739,91.09484828848059,28.096865728787574,18,2012
BRIDGEVILLE,1501–2000,47.481485807146896,38.04627249357326,44.331883656960756,7,2012
BRIDGEVILLE,2001–2500,53.71610054844255,68.99641577060932,28.37335772546877,3,2012
CARNEGIE,0–1000,77.20001539372667,88.4130658436214,25.209753894834222,10,2012
CARNEGIE,1001–1500,69.26390811719094,88.2768361581921,32.59909467181598,45,2012
CARNEGIE,1501–2000,69.49500708891532,81.79571513685056,30.31136773011341,12,2012
CARNEGIE,2001–2500,35.78284449032093,30.394656291785477,14.875408480405868,6,2012
CARNEGIE,2501–3000,14.415842663086776,14.415842663086776,0.7608015858185889,2,2012
CASTLE SHANNON,0–1000,100.38704098484254,103.0854441067207,27.50895695323311,18,2012
CASTLE SHANNON,1001–1500,88.88370031092546,92.72070480438522,22.954851680668654,32,2012
CASTLE SHANNON,1501–2000,62.80314300925799,79.26829268292683,37.42047657196269,3,2012
CASTLE SHANNON,2001–2500,22.31718898385565,22.31718898385565,,1,2012
CHALFANT,0–1000,40.55555555555556,40.55555555555556,49.49747468305833,2,2012
CHALFANT,1001–1500,45.64490941805708,52.42200328407225,28.133518534421935,5,2012
CHALFANT,1501–2000,10.70601851851852,10.70601851851852,,1,2012
CHESWICK,0–1000,67.97779922779924,67.97779922779924,1.3445949410593547,2,2012
CHESWICK,1001–1500,73.17218080488445,79.81811259507131,25.31494730240182,8,2012
CHESWICK,1501–2000,38.097907039403786,38.097907039403786,10.33751887831757,2,2012
CHESWICK,2001–2500,41.726020892687565,41.726020892687565,18.214882658770286,2,2012
CHURCHILL,0–1000,79.36507936507937,79.36507936507937,,1,2012
CHURCHILL,1001–1500,80.01121873125652,82.69631688672689,24.210711034771087,9,2012
CHURCHILL,1501–2000,73.38590569214803,77.38537794299876,24.589323104232374,13,2012
CHURCHILL,2001–2500,75.77804332666453,73.570682631818,13.063281787474342,10,2012
CHURCHILL,2501–3000,75.07272560984744,82.18160322005258,30.729702442142706,4,2012
CHURCHILL,3001+,79.08276516954066,79.08276516954066,55.86828487958807,2,2012
COLLIER,0–1000,106.59493105292,120.14570907034141,69.38451332690678,6,2012
